city,country,admin_name,capital,population,id
Fort Saskatchewan,Canada,Alberta,,24149.0,1124769097
Ensenada,Mexico,Baja California,minor,522768.0,1484714297
Blackhawk,United States,California,,9604.0,1840028358
West Covina,United States,California,,105101.0,1840021876
New Providence,United States,New Jersey,,13595.0,1840001095
Chiryu,Japan,Aichi,,71907.0,1392192403
's-Hertogenbosch,Netherlands,Noord-Brabant,admin,134520.0,1528012333
Suwanee,United States,Georgia,,20907.0,1840015616
Caguas,Puerto Rico,Puerto Rico,,73322.0,1630023540
Olivette,United States,Missouri,,7822.0,1840009743
Marikina City,Philippines,Marikina,admin,450741.0,1608000077
Nipomo,United States,California,,17601.0,1840019122
Galloway,United States,New Jersey,,36094.0,1840081583
Apopka,United States,Florida,,53447.0,1840014093
North Vancouver,Canada,British Columbia,,85935.0,1124000146
Nashua,United States,New Hampshire,,233917.0,1840002984
Port of Spain,Trinidad And Tobago,Port of Spain,primary,37074.0,1780670676
Mount Kisco,United States,New York,,10795.0,1840004936
Lake Delton,United States,Wisconsin,,5609.0,1840002718
Jiaxing,China,Zhejiang,minor,4501657.0,1156491661
Collingwood,Canada,Ontario,,21793.0,1124219884
Horsham,United Kingdom,West Sussex,,50934.0,1826018789
Spring Hill,United States,Florida,,111076.0,1840014105
Cabanatuan City,Philippines,Nueva Ecija,,302231.0,1608247694
Lindsay,United States,California,,16713.0,1840020367
Midwest City,United States,Oklahoma,,57407.0,1840020425
Lincoln City,United States,Oregon,,12172.0,1840019974
New Fairfield,United States,Connecticut,,13955.0,1840035500
Forestville,United States,Maryland,,12342.0,1840005942
Missoula,United States,Montana,,92895.0,1840019840
Ridgeland,United States,Mississippi,,24104.0,1840014873
Oneonta,United States,New York,,17236.0,1840000405
Gent,Belgium,Flanders,minor,262219.0,1056062897
Rio de Janeiro,Brazil,Rio de Janeiro,admin,12272000.0,1076887657
Sunrise,United States,Florida,,95166.0,1840016000
Royal Oak,United States,Michigan,,59277.0,1840002430
Derby,United Kingdom,Derby,,270500.0,1826333435
Yorkshire,United States,Virginia,,9639.0,1840006107
Waycross,United States,Georgia,,23671.0,1840015871
Denpasar,Indonesia,Bali,admin,834881.0,1360848527
Salinas,United States,California,,190972.0,1840021632
Sejong,"Korea, South",Sejong,admin,,1410002592
Essen,Germany,North Rhine-Westphalia,minor,583109.0,1276769247
Coral Springs,United States,Florida,,133759.0,1840015134
Beloit,United States,Wisconsin,,63762.0,1840002471
Pinehurst,United States,North Carolina,,45935.0,1840017852
Dorval,Canada,Quebec,,18980.0,1124933556
San Bruno,United States,California,,42807.0,1840021549
South Pasadena,United States,California,,25329.0,1840021871
South Riding,United States,Virginia,,31515.0,1840024507
Douglas,Isle Of Man,,primary,35854.0,1833688345
Glenwood Springs,United States,Colorado,,11962.0,1840020184
Hampshire,United States,Illinois,,6251.0,1840011343
Buenos Aires,Argentina,"Buenos Aires, Ciudad Autónoma de",primary,16157000.0,1032717330
Fridley,United States,Minnesota,,27826.0,1840007798
Brookhaven,United States,New York,,483546.0,1840057464
El Paso,United States,Texas,,843386.0,1840023252
San Pablo,Philippines,Laguna,,266068.0,1608801564
Fort Mitchell,United States,Kentucky,,8241.0,1840013170
Shelbyville,United States,Kentucky,,24351.0,1840015205
Rogers,United States,Arkansas,,68669.0,1840014444
Jacksonville,United States,Florida,,1181496.0,1840015031
Massapequa,United States,New York,,21784.0,1840005274
Brick,United States,New Jersey,,75342.0,1840081606
Keene,United States,New Hampshire,,22786.0,1840003050
Balanga,Philippines,Bataan,admin,96061.0,1608467104
