Patterson,United States,California,,22930.0,1840020290
Patterson,United States,New York,,11866.0,1840058386
Patterson,United States,Louisiana,,5792.0,1840015057
Coon Rapids,United States,Minnesota,,62998.0,1840006714
Peterborough,Canada,Ontario,,82094.0,1124440356
Peterborough,United States,New Hampshire,,6604.0,1840055383
Peterborough,Australia,South Australia,,1416.0,1036104272
Peterborough,United Kingdom,Peterborough,,82.0,1826626144
Golden,United States,Colorado,,20767.0,1840020197
Piracicaba,Brazil,São Paulo,,342209.0,1076166252
Walton,United States,New York,,5179.0,1840004623
Hays,United States,Kansas,,21421.0,1840001628
Zaventem,Belgium,Flanders,,33806.0,1056786797
Clarendon Hills,United States,Illinois,,8752.0,1840010170
Clarion,United States,Pennsylvania,,10138.0,1840000739
Hyde,United Kingdom,Tameside,,34003.0,1826480324
Hazelwood,United States,Missouri,,25117.0,1840007453
Payson,United States,Utah,,20303.0,1840020172
Payson,United States,Arizona,,15813.0,1840022857
Tours,France,Centre-Val de Loire,minor,135787.0,1250635972
Sand Springs,United States,Oklahoma,,19905.0,1840021671
Hamden,United States,Connecticut,,60982.0,1840034823
Villeurbanne,France,Auvergne-Rhône-Alpes,,147712.0,1250002615
Clearwater,United States,Florida,,116946.0,1840015110
Morioka,Japan,Iwate,admin,290553.0,1392981957
Schaumburg,United States,Illinois,,72887.0,1840011319
Maricopa,United States,Arizona,,52127.0,1840020629
Herndon,United States,Virginia,,24601.0,1840006037
Orange,United States,California,,138669.0,1840020582
Orange,Australia,New South Wales,,40493.0,1036760396
Orange,France,Provence-Alpes-Côte d’Azur,,28919.0,1250367364
Orange,United States,Texas,,18118.0,1840020910
Orange,United States,Connecticut,,13934.0,1840035528
Orange,United States,Massachusetts,,7644.0,1840053437
Orange,United States,Virginia,,5291.0,1840006268
Goshen,United States,Indiana,,34217.0,1840013733
Goshen,United States,New York,,13991.0,1840004868
Lake Ridge,United States,Virginia,,44716.0,1840006099
Malahide,Canada,Ontario,,9292.0,1124001777
Glencoe,New Zealand,Southland,,9750.0,1554979133
Glencoe,United States,Illinois,,8826.0,1840011279
Glencoe,United States,Minnesota,,5544.0,1840007845
Glencoe,United States,Alabama,,5071.0,1840003257
Maebashi,Japan,Gunma,admin,331576.0,1392333295
Summerville,United States,South Carolina,,52549.0,1840016886
Summerville,United States,Georgia,,10331.0,1840015554
Pagosa Springs,United States,Colorado,,5927.0,1840022565
Tempe,United States,Arizona,,195805.0,1840021942
